 no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, loan_status,Gender,Age
2, Not Graduate, No,9800000,25300000,12,313, Rejected,Male,26
2, Graduate, No,5700000,12000000,6,363, Rejected,Male,50
1, Not Graduate, Yes,800000,1600000,10,436, Rejected,Male,24
5, Not Graduate, Yes,8400000,22000000,2,830, Approved,Female,31
3, Graduate, No,4900000,11900000,8,612, Approved,Male,46
2, Graduate, Yes,1700000,3400000,8,691, Approved,Female,36
3, Not Graduate, No,1600000,6200000,18,636, Approved,Male,29
5, Graduate, Yes,8000000,27200000,6,348, Rejected,Female,26
5, Graduate, No,3600000,7700000,16,830, Approved,Male,79
3, Not Graduate, Yes,1500000,5100000,6,352, Rejected,Male,41
1, Graduate, No,7800000,18100000,2,712, Approved,Male,47
2, Not Graduate, No,9100000,24900000,16,822, Approved,Female,51
3, Graduate, No,1400000,3400000,6,540, Rejected,Female,27
2, Graduate, Yes,800000,2300000,12,342, Rejected,Female,53
5, Graduate, No,6500000,13400000,18,787, Approved,Male,25
4, Graduate, No,8000000,27800000,16,331, Rejected,Female,21
3, Not Graduate, Yes,4200000,14600000,6,679, Approved,Male,50
1, Graduate, Yes,4900000,19100000,14,677, Approved,Male,24
3, Not Graduate, No,5500000,20500000,12,634, Approved,Female,67
1, Not Graduate, Yes,9500000,19100000,16,662, Approved,Male,35
4, Graduate, No,7300000,25400000,16,502, Rejected,Female,28
2, Graduate, No,8700000,24700000,10,435, Rejected,Male,33
5, Not Graduate, No,3800000,7600000,4,689, Approved,Female,38
1, Not Graduate, Yes,8400000,23000000,12,657, Approved,Male,72
2, Graduate, Yes,5100000,19700000,20,590, Approved,Female,32
5, Not Graduate, No,6700000,24500000,12,818, Approved,Female,39
2, Not Graduate, No,4300000,10600000,18,431, Rejected,Female,27
5, Graduate, Yes,9300000,30500000,18,841, Approved,Female,20
1, Graduate, No,7400000,18400000,20,421, Rejected,Male,30
4, Not Graduate, Yes,5500000,18200000,16,797, Approved,Male,38
2, Not Graduate, No,8500000,18900000,18,478, Rejected,Male,24
3, Not Graduate, Yes,9600000,30500000,18,669, Approved,Female,22
5, Not Graduate, Yes,8800000,28900000,6,365, Rejected,Female,52
3, Not Graduate, Yes,3300000,7500000,20,586, Approved,Female,74
4, Graduate, Yes,3900000,12300000,18,784, Approved,Female,48
1, Graduate, No,4100000,10300000,12,364, Rejected,Female,20
3, Not Graduate, No,8300000,29100000,10,715, Approved,Female,45
0, Not Graduate, Yes,2700000,10100000,20,693, Rejected,Female,24
4, Graduate, No,5600000,12400000,4,777, Approved,Male,77
0, Graduate, No,1900000,5000000,12,312, Rejected,Female,34
4, Not Graduate, Yes,500000,1500000,20,340, Rejected,Male,60
5, Graduate, Yes,5300000,18600000,4,386, Approved,Male,36
5, Not Graduate, No,7000000,18300000,4,418, Rejected,Male,71
3, Not Graduate, Yes,5800000,16700000,16,735, Approved,Male,64
2, Not Graduate, No,2600000,8400000,6,494, Rejected,Male,49
2, Not Graduate, No,1900000,6500000,18,671, Approved,Female,45
4, Graduate, No,5700000,14800000,16,697, Approved,Male,21
0, Graduate, No,9000000,33500000,8,801, Approved,Female,22
2, Not Graduate, No,8500000,29400000,12,576, Approved,Male,62
0, Not Graduate, No,700000,1400000,14,639, Approved,Female,39
4, Graduate, No,3500000,8900000,4,470, Rejected,Female,36
0, Not Graduate, No,8800000,31200000,4,826, Approved,Female,25
2, Not Graduate, Yes,9900000,21200000,16,363, Rejected,Male,34
3, Graduate, No,3600000,8600000,20,613, Approved,Male,39
3, Not Graduate, Yes,3000000,8200000,16,713, Approved,Male,48
2, Graduate, No,6800000,21200000,16,439, Rejected,Male,55
5, Not Graduate, Yes,1100000,3800000,18,387, Rejected,Female,24
1, Not Graduate, Yes,8700000,28300000,8,402, Rejected,Female,42
4, Graduate, Yes,2000000,8000000,6,837, Approved,Female,56
2, Not Graduate, No,9800000,37600000,10,641, Approved,Male,23
4, Graduate, No,5700000,21100000,18,489, Rejected,Female,38
4, Graduate, No,8800000,20700000,18,540, Rejected,Male,32
4, Graduate, No,3800000,8900000,4,844, Approved,Female,78
1, Graduate, No,1700000,6400000,10,452, Rejected,Female,45
2, Graduate, No,1000000,2000000,10,366, Rejected,Female,22
5, Graduate, No,300000,1100000,2,300, Approved,Female,41
2, Graduate, Yes,6600000,15000000,18,470, Rejected,Female,40
2, Not Graduate, No,8700000,25000000,20,861, Approved,Female,24
4, Graduate, No,9400000,29400000,12,562, Approved,Female,75
0, Graduate, No,4400000,10800000,14,463, Rejected,Female,70
4, Not Graduate, No,400000,900000,12,478, Rejected,Male,45
2, Not Graduate, Yes,300000,1100000,2,702, Approved,Male,70
2, Not Graduate, Yes,4300000,12900000,20,618, Approved,Female,20
4, Graduate, No,1600000,4500000,12,633, Approved,Male,79
5, Not Graduate, Yes,6200000,23600000,10,331, Rejected,Female,23
3, Not Graduate, Yes,4200000,9700000,16,841, Approved,Female,54
4, Not Graduate, Yes,9000000,18100000,12,764, Approved,Female,45
0, Graduate, No,2700000,10600000,6,591, Approved,Male,21
1, Graduate, Yes,9700000,35900000,2,719, Approved,Male,29
2, Graduate, No,3300000,6800000,14,317, Rejected,Male,66
0, Not Graduate, No,300000,1100000,8,778, Approved,Male,57
3, Graduate, Yes,7400000,18200000,14,302, Rejected,Female,38
5, Not Graduate, No,7100000,19700000,8,502, Rejected,Male,28
5, Not Graduate, Yes,7300000,22100000,18,879, Approved,Male,30
1, Not Graduate, No,8400000,23400000,14,437, Rejected,Female,38
0, Not Graduate, Yes,3300000,10800000,12,797, Approved,Male,38
4, Not Graduate, Yes,5800000,23200000,18,456, Rejected,Female,26
0, Not Graduate, No,600000,1600000,6,647, Approved,Female,25
0, Not Graduate, No,7200000,15800000,12,379, Rejected,Male,44
1, Not Graduate, Yes,9100000,32900000,2,717, Approved,Female,27
5, Graduate, No,900000,2300000,16,545, Rejected,Male,51
2, Graduate, No,800000,3200000,8,317, Rejected,Female,46
1, Not Graduate, No,8500000,32900000,10,570, Approved,Female,54
0, Not Graduate, Yes,9000000,18700000,18,865, Approved,Male,33
3, Graduate, No,7000000,19500000,14,719, Approved,Male,27
3, Graduate, No,200000,600000,16,821, Approved,Male,55
4, Not Graduate, Yes,400000,800000,10,859, Approved,Female,78
3, Not Graduate, No,5100000,18200000,10,395, Rejected,Female,28
2, Not Graduate, Yes,700000,2600000,12,429, Rejected,Female,30
3, Graduate, No,400000,1200000,12,861, Approved,Female,39
0, Not Graduate, Yes,9500000,20800000,14,565, Approved,Female,79
5, Graduate, No,8800000,22600000,10,357, Rejected,Male,47
3, Not Graduate, Yes,1800000,3600000,18,465, Rejected,Female,23
4, Not Graduate, Yes,6800000,13900000,8,479, Rejected,Female,54
3, Not Graduate, No,1500000,5500000,16,717, Approved,Male,68
3, Graduate, No,1600000,5500000,12,425, Rejected,Male,45
2, Not Graduate, No,4600000,16700000,2,786, Approved,Male,21
5, Not Graduate, Yes,2200000,6700000,6,382, Rejected,Male,37
3, Not Graduate, Yes,2900000,8500000,12,564, Approved,Male,59
0, Graduate, No,200000,700000,8,501, Rejected,Female,38
2, Not Graduate, Yes,2500000,9400000,10,727, Approved,Female,33
4, Not Graduate, No,3600000,7500000,6,894, Approved,Female,71
0, Graduate, Yes,5500000,16700000,18,829, Approved,Female,49
4, Not Graduate, No,6600000,17400000,20,506, Rejected,Male,25
2, Graduate, Yes,8600000,32100000,6,802, Approved,Female,34
5, Not Graduate, No,600000,1500000,14,543, Rejected,Male,30
3, Graduate, Yes,1400000,3200000,20,772, Approved,Male,62
3, Graduate, No,4000000,11100000,12,572, Approved,Male,26
0, Not Graduate, Yes,4900000,11900000,16,709, Approved,Male,56
5, Graduate, No,2000000,6200000,18,402, Rejected,Female,59
1, Not Graduate, Yes,5200000,19300000,8,481, Rejected,Female,33
5, Graduate, Yes,8900000,28800000,6,772, Approved,Female,27
1, Graduate, Yes,6500000,20600000,2,306, Approved,Male,54
2, Not Graduate, No,1300000,4500000,6,415, Rejected,Male,61
3, Not Graduate, No,9400000,35000000,16,548, Rejected,Male,30
5, Not Graduate, No,5000000,11200000,8,701, Approved,Female,32
2, Graduate, No,3000000,7700000,12,890, Approved,Male,25
5, Not Graduate, Yes,9900000,33300000,6,364, Rejected,Male,42
5, Graduate, Yes,700000,1300000,20,704, Approved,Male,35
3, Graduate, Yes,4000000,10600000,10,318, Rejected,Female,61
5, Not Graduate, No,3100000,9600000,2,761, Approved,Male,29
4, Not Graduate, No,4500000,15100000,6,693, Approved,Female,39
3, Not Graduate, No,9700000,20600000,16,524, Rejected,Male,23
2, Not Graduate, Yes,2000000,5300000,10,681, Approved,Male,28
2, Graduate, Yes,8100000,22300000,18,737, Approved,Male,24
0, Not Graduate, No,5700000,15900000,16,638, Approved,Male,38
4, Not Graduate, No,5800000,12800000,2,656, Approved,Female,54
1, Graduate, No,1800000,6500000,6,540, Rejected,Male,42
4, Not Graduate, Yes,9100000,35200000,6,341, Rejected,Male,26
0, Not Graduate, Yes,4800000,17500000,2,371, Approved,Female,63
3, Not Graduate, Yes,3800000,10500000,12,886, Approved,Female,27
0, Not Graduate, No,1900000,4100000,18,801, Approved,Male,68
3, Not Graduate, Yes,3600000,9500000,16,748, Approved,Male,49
2, Not Graduate, Yes,7400000,28200000,8,376, Rejected,Male,21
4, Not Graduate, Yes,6600000,14300000,8,371, Rejected,Female,22
2, Graduate, No,1800000,5300000,6,826, Approved,Male,51
4, Not Graduate, No,9200000,27200000,12,873, Approved,Male,21
5, Not Graduate, Yes,2400000,8600000,8,309, Rejected,Female,66
4, Not Graduate, No,5600000,13300000,20,869, Approved,Male,34
5, Graduate, No,3800000,13900000,12,534, Rejected,Male,39
3, Not Graduate, Yes,4500000,17900000,6,787, Approved,Male,53
0, Graduate, Yes,900000,2200000,16,566, Approved,Female,57
0, Not Graduate, No,2800000,9900000,8,742, Approved,Male,24
2, Not Graduate, No,7500000,23100000,4,824, Approved,Male,54
4, Graduate, No,1400000,3100000,14,575, Approved,Female,78
2, Graduate, Yes,3800000,10900000,10,766, Approved,Male,39
1, Not Graduate, Yes,1700000,5000000,10,888, Approved,Female,33
3, Graduate, Yes,9000000,30400000,6,638, Approved,Male,39
5, Not Graduate, Yes,7300000,23300000,6,622, Approved,Female,24
1, Not Graduate, No,7400000,19800000,18,458, Rejected,Female,45
1, Not Graduate, No,9000000,28200000,16,327, Rejected,Male,76
0, Not Graduate, No,3000000,6500000,2,612, Approved,Female,28
1, Graduate, No,800000,2900000,8,682, Approved,Male,38
2, Graduate, No,4800000,13200000,2,583, Approved,Male,35
5, Not Graduate, No,6400000,18300000,8,697, Approved,Male,60
3, Graduate, No,9200000,27100000,12,306, Rejected,Female,61
4, Not Graduate, Yes,400000,1500000,2,669, Approved,Male,20
2, Not Graduate, No,2800000,6000000,18,816, Approved,Male,26
4, Not Graduate, Yes,8500000,28900000,20,455, Rejected,Male,42
3, Graduate, Yes,4700000,16400000,10,318, Rejected,Female,57
4, Not Graduate, Yes,9800000,21200000,20,355, Rejected,Female,33
2, Not Graduate, Yes,3800000,8900000,16,389, Rejected,Female,29
2, Graduate, No,500000,1500000,2,888, Approved,Female,46
2, Graduate, Yes,6900000,15600000,6,352, Rejected,Male,37
4, Not Graduate, Yes,9600000,30100000,12,870, Approved,Male,36
3, Not Graduate, No,2900000,6500000,18,827, Approved,Female,39
2, Graduate, No,9800000,20900000,12,768, Approved,Female,29
0, Graduate, No,7100000,15400000,18,707, Approved,Female,23
1, Not Graduate, Yes,7700000,19100000,10,355, Rejected,Male,45
3, Graduate, No,1400000,3300000,2,652, Approved,Male,52
3, Graduate, No,7800000,15900000,2,665, Approved,Female,33
5, Not Graduate, Yes,1700000,6000000,18,420, Rejected,Female,27
2, Not Graduate, No,8500000,32700000,18,471, Rejected,Male,64
5, Not Graduate, No,1900000,7500000,20,715, Approved,Male,22
2, Not Graduate, Yes,6700000,15200000,10,689, Approved,Female,47
3, Graduate, Yes,6900000,16400000,4,787, Approved,Female,68
2, Graduate, No,2600000,7800000,4,819, Approved,Female,20
4, Graduate, Yes,9600000,21100000,6,809, Approved,Male,64
1, Not Graduate, Yes,6800000,17000000,2,744, Approved,Male,46
0, Not Graduate, No,3200000,11300000,6,484, Rejected,Male,21
4, Not Graduate, No,2900000,10400000,6,673, Approved,Female,40
3, Graduate, Yes,7900000,21200000,18,695, Approved,Female,41
4, Not Graduate, Yes,3900000,12400000,12,473, Rejected,Female,35
4, Graduate, Yes,4600000,11000000,2,491, Rejected,Male,25
3, Not Graduate, Yes,700000,1700000,8,733, Approved,Female,48
0, Not Graduate, No,5200000,15600000,20,434, Rejected,Female,61
3, Not Graduate, Yes,5900000,20600000,10,777, Approved,Male,46
4, Graduate, No,7200000,19100000,4,774, Approved,Female,42
1, Not Graduate, Yes,8700000,27000000,10,717, Approved,Female,22
3, Not Graduate, Yes,1100000,3500000,12,503, Rejected,Male,26
1, Graduate, Yes,4000000,10900000,14,598, Approved,Male,45
2, Graduate, No,9800000,32400000,2,543, Approved,Female,21
0, Not Graduate, Yes,2700000,6800000,20,796, Approved,Female,46
3, Not Graduate, Yes,8800000,34600000,8,386, Rejected,Male,63
5, Not Graduate, Yes,3300000,7800000,16,632, Approved,Female,30
1, Graduate, Yes,6900000,23400000,4,481, Approved,Female,28
3, Graduate, Yes,900000,3500000,4,770, Rejected,Female,61
3, Graduate, Yes,4100000,15500000,6,667, Approved,Female,27
3, Not Graduate, Yes,4700000,17500000,8,585, Approved,Female,65
5, Graduate, Yes,3400000,11600000,16,479, Rejected,Female,22
2, Graduate, No,9600000,22500000,18,851, Approved,Male,24
3, Not Graduate, Yes,7000000,16200000,6,378, Rejected,Male,33
5, Graduate, No,5700000,12900000,18,807, Approved,Female,23
1, Not Graduate, Yes,8200000,32400000,18,831, Approved,Female,26
2, Not Graduate, No,2100000,5100000,12,674, Approved,Male,66
1, Not Graduate, Yes,8000000,28100000,18,725, Approved,Female,35
2, Not Graduate, No,8000000,29300000,4,600, Approved,Female,21
0, Not Graduate, Yes,9400000,27000000,10,536, Rejected,Male,36
0, Graduate, No,8400000,20600000,10,477, Rejected,Female,49
1, Not Graduate, Yes,1900000,5000000,6,560, Approved,Male,35
0, Not Graduate, Yes,4200000,16400000,20,539, Rejected,Male,56
5, Graduate, No,2600000,9100000,8,852, Approved,Male,51
3, Not Graduate, No,3700000,8500000,20,853, Approved,Female,39
0, Graduate, No,8800000,30900000,12,729, Approved,Male,38
2, Not Graduate, No,2100000,4700000,2,546, Rejected,Male,31
3, Graduate, Yes,900000,2400000,10,489, Rejected,Female,25
3, Graduate, Yes,9800000,35400000,6,869, Approved,Female,31
2, Not Graduate, No,8000000,20000000,2,502, Rejected,Male,23
0, Graduate, No,9800000,38800000,8,652, Approved,Male,36
0, Not Graduate, Yes,300000,1100000,8,789, Approved,Male,58
4, Not Graduate, No,2700000,8100000,4,325, Approved,Female,35
3, Graduate, Yes,7400000,19600000,2,716, Approved,Male,27
3, Graduate, No,9200000,34300000,18,523, Rejected,Female,44
5, Not Graduate, No,9500000,22200000,20,352, Rejected,Female,46
5, Graduate, Yes,3800000,14400000,2,345, Approved,Male,57
0, Graduate, No,8300000,19400000,18,649, Approved,Female,50
2, Graduate, Yes,2800000,7400000,18,666, Approved,Female,40
0, Graduate, No,8600000,20900000,10,813, Approved,Female,32
0, Not Graduate, No,5400000,16800000,10,599, Approved,Female,63
5, Graduate, Yes,4200000,9400000,6,678, Approved,Female,30
5, Not Graduate, No,5200000,12200000,20,513, Rejected,Female,25
5, Graduate, No,9400000,27900000,4,870, Approved,Male,47
3, Graduate, No,8800000,20400000,8,483, Rejected,Male,48
1, Graduate, Yes,5900000,16700000,16,308, Rejected,Female,52
3, Graduate, Yes,1700000,4900000,16,591, Approved,Male,43
1, Not Graduate, No,7000000,23000000,10,886, Approved,Female,27
4, Not Graduate, No,1700000,4000000,6,829, Approved,Male,25
0, Not Graduate, No,1500000,4900000,12,651, Approved,Male,34
4, Not Graduate, No,2000000,4700000,18,733, Approved,Female,43
5, Graduate, Yes,3900000,15500000,12,433, Rejected,Female,45
1, Graduate, Yes,900000,3600000,14,713, Approved,Male,29
1, Graduate, No,6900000,22500000,18,403, Rejected,Female,32
0, Graduate, Yes,2800000,7800000,10,405, Rejected,Male,71
3, Graduate, Yes,6800000,19900000,10,516, Rejected,Female,79
4, Not Graduate, Yes,600000,1800000,8,417, Rejected,Female,33
1, Not Graduate, No,4700000,14000000,6,468, Rejected,Female,62
5, Graduate, Yes,3000000,11800000,10,672, Approved,Female,48
5, Not Graduate, No,4000000,13900000,6,530, Rejected,Male,48
1, Not Graduate, Yes,3100000,11300000,14,824, Approved,Male,20
1, Not Graduate, Yes,7700000,25500000,12,549, Rejected,Female,23
5, Not Graduate, Yes,4300000,9300000,10,450, Rejected,Female,45
1, Graduate, Yes,5800000,19500000,20,431, Rejected,Male,55
3, Graduate, Yes,3600000,10700000,16,312, Rejected,Male,79
0, Not Graduate, Yes,2900000,7600000,8,320, Rejected,Male,70
0, Graduate, No,8800000,20200000,4,433, Rejected,Male,53
1, Not Graduate, Yes,300000,1000000,10,431, Rejected,Male,73
5, Not Graduate, Yes,8600000,28900000,8,516, Rejected,Female,23
2, Not Graduate, Yes,3500000,12000000,14,476, Rejected,Male,21
5, Graduate, No,800000,2600000,6,560, Approved,Female,26
2, Graduate, No,8000000,27100000,12,674, Approved,Male,35
0, Not Graduate, Yes,9900000,38200000,6,573, Approved,Female,22
2, Not Graduate, No,3300000,6600000,6,331, Rejected,Female,71
4, Graduate, Yes,2000000,6700000,12,633, Approved,Male,60
3, Not Graduate, No,4900000,12900000,18,877, Approved,Male,55
5, Not Graduate, Yes,9200000,23600000,12,656, Approved,Female,23
0, Not Graduate, No,7500000,18200000,6,782, Approved,Male,21
5, Not Graduate, No,9000000,29300000,4,531, Approved,Female,54
3, Not Graduate, No,1400000,4100000,8,455, Rejected,Male,35
3, Graduate, No,9600000,19900000,14,452, Rejected,Female,35
2, Graduate, No,8400000,33200000,14,474, Rejected,Male,28
3, Not Graduate, No,6400000,24400000,4,483, Approved,Male,72
4, Graduate, No,5900000,16800000,8,481, Rejected,Male,26
2, Graduate, Yes,2200000,5100000,20,859, Approved,Female,45
4, Graduate, Yes,5600000,14100000,14,696, Approved,Female,27
4, Not Graduate, No,9800000,28700000,6,778, Approved,Female,33
4, Graduate, No,4400000,14600000,4,499, Approved,Female,68
2, Not Graduate, Yes,2400000,4900000,4,888, Approved,Female,25
1, Graduate, No,4400000,10800000,12,674, Approved,Male,39
4, Graduate, No,3700000,13200000,4,802, Approved,Male,35
4, Not Graduate, Yes,2300000,7800000,8,540, Rejected,Male,41
4, Graduate, Yes,5900000,19600000,8,726, Approved,Male,23
4, Not Graduate, Yes,6400000,23500000,2,485, Approved,Male,26
4, Graduate, Yes,4900000,17100000,6,612, Approved,Male,70
3, Not Graduate, Yes,9500000,24200000,8,879, Approved,Male,32
2, Not Graduate, No,5700000,16400000,12,708, Approved,Male,53
2, Not Graduate, Yes,2700000,5700000,8,850, Approved,Female,47
2, Not Graduate, Yes,3900000,11300000,12,516, Rejected,Female,28
0, Not Graduate, No,7800000,28800000,12,465, Rejected,Male,28
0, Graduate, No,1100000,3200000,20,716, Approved,Female,44
4, Not Graduate, No,200000,600000,10,404, Rejected,Male,58
0, Not Graduate, Yes,4700000,10600000,20,512, Rejected,Male,54
3, Not Graduate, Yes,8200000,20600000,10,441, Rejected,Male,63
2, Not Graduate, Yes,4600000,18400000,2,555, Approved,Male,23
5, Not Graduate, No,1800000,7000000,18,466, Rejected,Male,73
3, Graduate, Yes,3200000,8600000,2,427, Rejected,Male,33
4, Not Graduate, Yes,5500000,20000000,14,593, Approved,Male,35
3, Graduate, No,7900000,18300000,10,731, Approved,Male,20
1, Graduate, Yes,4000000,10100000,16,451, Rejected,Male,29
3, Not Graduate, Yes,6800000,16900000,18,628, Approved,Male,22
1, Not Graduate, No,2700000,9400000,18,704, Approved,Female,39
2, Not Graduate, No,6800000,23500000,12,341, Rejected,Male,54
5, Graduate, No,8600000,21000000,8,465, Rejected,Female,29
4, Graduate, No,8000000,30100000,4,431, Approved,Female,34
1, Graduate, Yes,3700000,12600000,10,424, Rejected,Male,80
0, Graduate, No,2600000,5100000,14,678, Approved,Female,32
4, Graduate, No,4200000,16800000,6,381, Rejected,Female,24
5, Graduate, Yes,8000000,28000000,10,449, Rejected,Female,23
1, Not Graduate, No,7100000,23500000,12,768, Approved,Male,36
0, Not Graduate, No,2000000,7000000,6,666, Rejected,Male,33
4, Not Graduate, Yes,5800000,13300000,14,742, Approved,Male,24
3, Not Graduate, Yes,6700000,15800000,4,445, Rejected,Female,27
2, Graduate, No,7300000,28700000,14,634, Approved,Male,51
4, Not Graduate, No,3300000,9700000,14,782, Approved,Male,42
0, Graduate, No,3000000,7000000,10,781, Approved,Male,48
4, Not Graduate, No,7900000,17200000,14,318, Rejected,Female,23
5, Not Graduate, No,7600000,24100000,18,721, Approved,Female,36
5, Not Graduate, No,3700000,9800000,4,563, Approved,Male,25
2, Not Graduate, No,8400000,26300000,4,419, Approved,Male,38
0, Graduate, Yes,8200000,20800000,14,372, Rejected,Male,29
0, Not Graduate, No,2900000,9500000,18,885, Approved,Female,20
1, Not Graduate, Yes,9900000,38400000,12,596, Approved,Female,29
0, Graduate, No,4400000,14100000,2,349, Approved,Female,20
1, Not Graduate, Yes,9000000,32200000,16,468, Rejected,Male,25
3, Not Graduate, Yes,6800000,26900000,16,818, Approved,Male,53
2, Not Graduate, No,8700000,28000000,12,543, Rejected,Male,43
3, Graduate, No,9400000,21900000,16,685, Approved,Female,41
3, Not Graduate, Yes,6000000,12500000,18,851, Approved,Male,30
1, Not Graduate, Yes,9400000,29800000,10,377, Rejected,Male,42
0, Not Graduate, Yes,1000000,4000000,10,620, Approved,Female,31
3, Graduate, Yes,900000,2300000,20,611, Approved,Female,37
4, Not Graduate, No,2100000,7700000,4,767, Approved,Male,36
5, Graduate, Yes,1100000,3200000,20,592, Approved,Female,29
0, Graduate, Yes,600000,2300000,4,319, Approved,Male,32
4, Not Graduate, Yes,9200000,25500000,10,900, Approved,Female,78
2, Not Graduate, Yes,3600000,12800000,18,814, Approved,Female,63
5, Not Graduate, Yes,1300000,5000000,10,755, Approved,Female,20
5, Graduate, Yes,7700000,16800000,20,584, Approved,Female,54
4, Graduate, Yes,9500000,23500000,14,380, Rejected,Male,40
2, Not Graduate, Yes,5000000,17600000,20,465, Rejected,Male,46
0, Not Graduate, No,500000,1800000,2,531, Approved,Male,20
1, Graduate, Yes,8300000,32100000,16,814, Approved,Female,46
0, Graduate, No,5300000,17900000,6,678, Approved,Male,70
2, Not Graduate, Yes,9300000,29000000,12,655, Approved,Female,61
3, Not Graduate, No,2300000,7400000,2,682, Approved,Male,21
1, Not Graduate, No,400000,1300000,6,695, Approved,Male,28
3, Not Graduate, No,3200000,10800000,4,833, Approved,Female,25
5, Not Graduate, Yes,9400000,35300000,16,302, Rejected,Male,31
1, Graduate, No,2300000,6600000,2,357, Rejected,Female,35
5, Not Graduate, No,4300000,14500000,12,302, Rejected,Female,22
0, Graduate, Yes,6200000,22400000,18,873, Approved,Female,27
0, Not Graduate, Yes,7200000,19800000,12,658, Approved,Male,58
5, Graduate, Yes,2400000,8700000,18,877, Approved,Male,63
3, Not Graduate, No,2900000,6300000,8,648, Approved,Male,60
1, Graduate, No,1400000,5200000,12,730, Approved,Male,24
4, Not Graduate, Yes,2200000,8200000,14,737, Approved,Male,60
2, Graduate, Yes,800000,3200000,10,584, Rejected,Female,51
0, Graduate, No,600000,1700000,2,621, Approved,Female,75
4, Graduate, Yes,700000,2700000,16,583, Approved,Female,21
2, Not Graduate, No,8400000,25900000,16,621, Approved,Female,37
2, Not Graduate, No,7100000,21500000,16,610, Approved,Male,33
4, Graduate, No,5400000,15700000,18,452, Rejected,Female,43
5, Graduate, No,3700000,7300000,18,339, Rejected,Female,21
3, Graduate, Yes,5200000,15200000,16,650, Approved,Female,64
4, Not Graduate, Yes,200000,700000,10,672, Approved,Female,40
3, Graduate, No,500000,1000000,20,501, Rejected,Male,72
2, Not Graduate, Yes,1800000,5700000,4,809, Approved,Female,35
5, Graduate, Yes,9200000,29400000,8,318, Rejected,Male,67
4, Not Graduate, No,900000,3300000,10,649, Approved,Male,37
3, Not Graduate, No,7500000,28300000,12,367, Rejected,Male,39
5, Not Graduate, No,3000000,11800000,6,847, Approved,Male,36
5, Graduate, No,7100000,18900000,12,360, Rejected,Male,51
1, Graduate, Yes,3500000,7200000,2,865, Approved,Female,29
4, Not Graduate, No,4900000,18800000,16,880, Approved,Male,22
1, Graduate, No,4100000,8400000,20,608, Approved,Female,35
0, Graduate, Yes,800000,2100000,6,760, Approved,Male,31
3, Graduate, Yes,1700000,4600000,12,385, Rejected,Male,55
0, Graduate, Yes,6100000,23300000,12,478, Rejected,Female,80
1, Graduate, Yes,2100000,7700000,16,327, Rejected,Male,73
0, Graduate, No,3100000,9300000,6,663, Approved,Female,54
2, Not Graduate, Yes,1700000,3500000,20,693, Approved,Male,71
3, Graduate, No,1700000,5400000,6,710, Approved,Female,41
4, Not Graduate, Yes,4000000,14500000,6,711, Approved,Male,28
5, Graduate, No,5600000,18400000,8,386, Rejected,Male,46
4, Graduate, Yes,3900000,11900000,10,855, Approved,Female,30
4, Graduate, Yes,6100000,15300000,14,573, Approved,Male,33
0, Graduate, Yes,1100000,2800000,18,431, Rejected,Female,63
2, Graduate, No,5500000,14800000,8,364, Rejected,Female,37
4, Graduate, Yes,1100000,3600000,14,711, Approved,Male,78
4, Not Graduate, Yes,400000,900000,20,771, Approved,Female,48
